name;price;expiration
Coffee Guatemala Dark #(36582138341339);;2/20/2023
Pepper - Sorrano #(3558326212773781);$16.68;1/8/2023
Vinegar - Raspberry #(😍);$194.85;1/9/2023
Shiro Miso #(3576086047975674);$56.51;2/5/2023
Puree - Strawberry #();$83.41;
"Bread - Wheat Baguette #(1;DROP TABLE users)";$166.80;11/29/2022
Steam Pan - Half Size Deep #(3566776124727194);$195.88;1/25/2023
Beer - Upper Canada Light #(4041375760085539);$181.85;2/11/2023
Amaretto #(6761319895012810735);$0.99;2/20/2023
Fudge - Cream Fudge #(ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.);$82.24;1/21/2023
Tomatoes - Roma #(374622397754978);$177.85;11/30/2022
Potatoes - Fingerling 4 Oz #(63048756748732608);$19.08;1/27/2023
Mace #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$62.68;2/15/2023
Wine - Rubyport #(5172106110703846);$105.76;12/30/2022
Tea - Earl Grey #();$130.74;2/27/2023
Water - Perrier #(3537183992998492);$69.36;1/21/2023
Wine - Niagara Peninsula Vqa #(👩🏽);$135.23;2/26/2023
Quail - Jumbo Boneless #(3571981243431859);$52.44;12/17/2022
Flax Seed #(œ∑´®†¥¨ˆøπ“‘);$122.69;3/16/2023
Cookies - Assorted #(3580729330731957);$127.11;2/12/2023
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
Puree - Mocha #(1E2);$1.77;3/4/2023
Cookie Dough - Chunky #(3534488839201379);$186.57;2/4/2023
Veal - Tenderloin, Untrimmed #();$113.52;3/1/2023
Bread Base - Toscano #(3569092728478912);$17.44;12/23/2022
Broom - Angled #();$140.59;2/19/2023
Chocolate Eclairs #(3553648577537286);$84.19;12/22/2022
Plate - Foam, Bread And Butter #(3581110958040121);$39.74;2/21/2023
Pasta - Bauletti, Chicken White #(3530203798552686);$43.74;3/16/2023
Cod - Salted, Boneless #(5602249582351999);$184.04;1/3/2023
Appetizer - Sausage Rolls #(3541956167859944);$117.00;2/13/2023
Sea Bass - Whole #(3532029449758465);$94.36;1/23/2023
Milk - Homo #(3580055653395414);$51.11;2/6/2023
Cherries - Bing, Canned #();$59.22;3/9/2023
Pears - Anjou #(3538430854333964);$153.52;12/10/2022
Coffee - Flavoured #(3562041988334353);;11/26/2022
Bandage - Fexible 1x3 #(3553145069710778);$44.14;2/23/2023
Durian Fruit #(5341669375112835);$35.78;3/7/2023
Veal - Brisket, Provimi,bnls #(50387643596770078);$188.15;12/15/2022
Wine - Toasted Head #(../../../../../../../../../../../etc/hosts);$13.40;1/31/2023
Mackerel Whole Fresh #(50384579792099602);$33.93;2/2/2023
Trout - Rainbow, Frozen #(67610692805765893);$94.67;3/1/2023
Beef - Ox Tail, Frozen #(3568194968865914);$197.18;1/15/2023
;$81.95;2/24/2023
Cherries - Bing, Canned #();$59.22;3/9/2023
Pear - Packum #(3568206576410311);$155.71;12/16/2022
Chip - Potato Dill Pickle #(3575416291102553);$191.97;3/11/2023
Beef Wellington #(6385013949040393);$22.48;2/15/2023
Cookie Choc #(67636082748418786);$56.30;11/29/2022
Tart Shells - Barquettes, Savory #(5602232301935579615);$72.06;1/10/2023
Lettuce - Radicchio #(3562568176534055);$64.51;1/9/2023
Rice - 7 Grain Blend #(201788538086742);$123.54;12/22/2022
Appetizer - Spring Roll, Veg #(3575605670483440);;12/16/2022
Pasta - Cheese / Spinach Bauletti #(3587234781985452);;1/4/2023
Chilli Paste, Hot Sambal Oelek #(4936463115594544097);$41.66;11/28/2022
Sprouts - Baby Pea Tendrils #(374288290281350);$75.02;3/2/2023
Seaweed Green Sheets #();$171.21;2/12/2023
Mayonnaise - Individual Pkg #(3537534186677286);$120.40;12/3/2022
Cheese - Pied De Vents #(6393342239179409);$146.18;2/16/2023
"Sea Urchin #(() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; })";$46.95;3/5/2023
Carrots - Purple, Organic #(3545669707949606);$45.58;12/10/2022
Catfish - Fillets #(3540190251484598);$22.06;1/28/2023
Shrimp - Baby, Cold Water #(₀₁₂);$149.64;11/23/2022
Tomatoes - Roma #(374622397754978);$177.85;11/30/2022
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Lamb - Shanks #();$26.88;12/1/2022
Bread - Wheat Baguette #(3555341199766412);$113.36;2/25/2023
Mortadella #(6762659379188385406);;2/8/2023
;$1.09;11/30/2022
Wine - Sake #(490534885162780441);$126.49;1/31/2023
Paper Cocktail Umberlla 80 - 180 #(3547584482987739);$151.20;12/20/2022
Bread - Corn Muffaleta Onion #(4405271815284518);$176.27;2/9/2023
Truffle - Whole Black Peeled #(3582745272933748);$82.06;2/19/2023
Water - Spring 1.5lit #(3532264574424084);$138.31;1/1/2023
Napkin White #(3574224215725660);$88.60;3/12/2023
Beer - Heinekin #(201799785049259);$149.45;12/1/2022
Cheese - Cheddar, Old White #(4917482809611506);$72.04;1/12/2023
Nut - Hazelnut, Ground, Natural #(201442900336976);$190.94;12/6/2022
Pork - Loin, Bone - In #(3582499538837646);$179.04;2/24/2023
V8 Splash Strawberry Kiwi #(374283995506037);$83.35;3/14/2023
Soup - Verve - Chipotle Chicken #(3558497903902839);$146.32;12/17/2022
Pork - Bacon, Sliced #(3588068246931852);$110.34;12/13/2022
Chocolate Eclairs #(`⁄€‹›ﬁﬂ‡°·‚—±);$100.20;3/17/2023
Coriander - Ground #(3536978218035784);;2/23/2023
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
Bread - Wheat Baguette #(3555341199766412);$113.36;2/25/2023
Pasta - Lasagna, Dry #(4026373913208776);$141.30;
Sauce - Gravy, Au Jus, Mix #(6709748211902320);;2/4/2023
Apple - Delicious, Red #(201871565068021);$121.19;12/7/2022
Veal - Loin #();$58.89;12/21/2022
Lamb - Whole, Fresh #(3564992433395001);$113.91;11/25/2022
Flower - Commercial Bronze #(564182327494432414);$171.85;1/3/2023
Wine - Red, Cabernet Merlot #(5100178515483339);$121.69;12/13/2022
Wine - White, Chardonnay #(3581638129851349);$26.37;2/12/2023
Cheese - Brie,danish #();;1/19/2023
Tomatoes Tear Drop Yellow #(3535592854254137);$169.95;12/19/2022
Olives - Green, Pitted #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$101.36;11/27/2022
Icecream Bar - Del Monte #(5108751042552719);$88.61;2/10/2023
Vermouth - White, Cinzano #(3538522324349891);$191.87;12/25/2022
Sauce - Gravy, Au Jus, Mix #(6709748211902320);;2/4/2023
Wine - Niagara Peninsula Vqa #(👩🏽);$135.23;2/26/2023
Filter - Coffee #(3529463838962146);$166.41;12/11/2022
Mangoes #(4026201296389311);$66.42;1/18/2023
Fish - Atlantic Salmon, Cold #(5602236165488140);$1.16;1/6/2023
Wine - Magnotta - Bel Paese White #(3579366406370676);$67.75;1/30/2023
Cheese - Brie,danish #();;1/19/2023
Lemon Balm - Fresh #(3568247825411510);$173.07;3/13/2023
Wine - White, Colubia Cresh #(3572270474512358);$126.90;11/23/2022
Banana - Leaves #(3586330745425436);$173.90;11/26/2022
Onions - Vidalia #(3548947491593500);$106.39;2/22/2023
Carrots - Jumbo #(3561371469929665);$123.60;1/12/2023
Pears - Anjou #(3538430854333964);$153.52;12/10/2022
Chips Potato Reg 43g #(30388467519156);$95.31;1/28/2023
Sugar - White Packet #(560225146924529657);$119.54;3/17/2023
Lobster - Live #(3550143957335793);$125.57;12/29/2022
Wine - White, Ej #(4936293856676685508);$109.57;12/26/2022
Fudge - Cream Fudge #(ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.);$82.24;1/21/2023
;$80.59;1/27/2023
Pectin #(6304524816626492);$48.59;2/26/2023
Artichoke - Fresh #(3559656741018731);$165.45;12/16/2022
Water - Spring 1.5lit #(3532264574424084);$138.31;1/1/2023
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Table Cloth 120 Round White #(6333696065971707);$48.76;12/23/2022
Container Clear 8 Oz #();$163.45;11/23/2022
Table Cloth 62x120 Colour #(3541297352293007);$45.23;3/14/2023
Carbonated Water - Strawberry #(3586930559715432);$145.85;12/24/2022
Pear - Packum #();$33.83;2/8/2023
Pectin #(6304524816626492);$48.59;2/26/2023
Pork - Chop, Frenched #(3567149820773848);$86.71;3/10/2023
Cinnamon Rolls #(3560454478974780);$174.64;
Broom - Angled #(5231862650077624);$116.58;2/15/2023
;$113.28;1/16/2023
"Country Roll #(,./;'[]\-=)";$117.34;2/8/2023
Wine - Lamancha Do Crianza #(4175007037838139);$177.00;11/29/2022
Wine - White, Chardonnay #(3581638129851349);$26.37;2/12/2023
Veal - Leg, Provimi - 50 Lb Max #();$169.50;1/2/2023
Cake Circle, Foil, Scallop #(5602229199767910);$100.04;3/15/2023
Rum - Dark, Bacardi, Black #(3535457323208702);$34.71;2/25/2023
Salt - Rock, Course #(3543243425895483);$46.53;12/1/2022
V8 - Vegetable Cocktail #();$55.80;1/2/2023
;;1/16/2023
Glycerine #(5602219271390103);$119.29;3/5/2023
Cocktail Napkin Blue #(3531650963160043);$82.83;2/12/2023
Lamb - Shanks #();$26.88;12/1/2022
Beef - Ground Lean Fresh #(‫test‫);$161.45;1/12/2023
Pomello #(3572363264085931);$86.46;3/15/2023
Island Oasis - Cappucino Mix #(50205929093046710);$121.68;1/29/2023
Cheese - Le Cru Du Clocher #(3532661864139688);$90.50;3/2/2023
;$32.11;12/29/2022
Mushrooms - Honey #(3546324664449187);$41.69;2/19/2023
Bamboo Shoots - Sliced #(201739664121100);$78.63;1/10/2023
Limes #(5100173317381062);$68.66;12/14/2022
Cake - Night And Day Choclate #(56022535244914165);$9.88;2/21/2023
Paper - Brown Paper Mini Cups #(36740427954697);$84.11;1/12/2023
Pears - Anjou #(3538430854333964);$153.52;12/10/2022
Butcher Twine 4r #(5010121635695308);$15.42;2/16/2023
Prunes - Pitted #(3542222465128972);$59.94;12/21/2022
Ginger - Pickled #(5449869740696220);$165.04;1/26/2023
Bread - Bistro White #(6334177978558377);$160.81;2/5/2023
Wine - Red, Gamay Noir #(371869443938534);$36.76;1/18/2023
Soup - Knorr, Chicken Gumbo #(3561807082668701);$175.66;12/5/2022
Oil - Margarine #();$112.71;12/23/2022
;$129.66;3/4/2023
Garbage Bag - Clear #(5168997048816551);$30.78;1/29/2023
Veal - Leg, Provimi - 50 Lb Max #(3535607544809478);$98.80;1/23/2023
Cheese - Parmesan Cubes #(3563993473979069);$135.95;12/29/2022
Chicken - Whole Fryers #(00˙Ɩ$-);$112.50;12/28/2022
Wine - Balbach Riverside #(3583601286839489);$127.73;2/5/2023
Olives - Nicoise #(4913741195825630);$195.45;2/22/2023
Cheese - Pied De Vents #();$108.10;3/13/2023
Beef - Striploin Aa #(5356120202190091);;2/14/2023
Cheese - Pied De Vents #();$108.10;3/13/2023
Chevril #(4508866395134219);$67.46;11/24/2022
Shichimi Togarashi Peppeers #(5602218331492800);$38.48;1/22/2023
Wine - Clavet Saint Emilion #(4911065633436224657);$134.72;
;$92.97;1/18/2023
Fish - Scallops, Cold Smoked #(5100144302455914);$108.78;11/30/2022
Bagel - Whole White Sesame #(5602259028299751);$25.14;2/24/2023
Cheese - Goat #(4903388030782474878);$87.99;1/1/2023
Corn - Mini #(3578822510554176);$98.83;1/7/2023
Pasta - Rotini, Dry #(3531252031420267);$151.80;3/7/2023
Chinese Foods - Pepper Beef #(4844714039625635);$165.92;3/14/2023
Mushroom - Enoki, Fresh #(3574944004111547);$196.94;3/4/2023
Pork - Loin, Bone - In #(374283595607714);$102.45;2/25/2023
Tea - Mint #(3583353363553951);$114.09;12/22/2022
Sauce - Apple, Unsweetened #(3579615292681871);$59.78;12/4/2022
Pate - Liver #(3548689677891155);$34.13;12/30/2022
Soup - Canadian Pea, Dry Mix #(50385789527930893);$6.01;3/13/2023
Wine - Casillero Deldiablo #(3552255667113142);$22.47;1/14/2023
Shrimp - 16/20, Peeled Deviened #(3565504291643239);$12.09;2/27/2023
Ecolab - Ster Bac #(5602241084717397);$161.86;3/7/2023
Urban Zen Drinks #(3559829317990621);$17.28;12/8/2022
Wine - Two Oceans Cabernet #();$29.66;12/3/2022
Dome Lid Clear P92008h #(5602227834991978);$159.82;12/13/2022
Beef Wellington #(6385013949040393);$22.48;2/15/2023
Chicken - Livers #(490504345090624068);$113.80;12/10/2022
Pheasants - Whole #(3564994101280754);$186.92;1/18/2023
Red Snapper - Fresh, Whole #(3563935885136861);;1/24/2023
Beans - Green #(676100468794286372);$76.44;3/1/2023
Pecan Raisin - Tarts #(5010121307047036);$30.02;1/27/2023
Tea Peppermint #(3543095838894770);$173.01;2/16/2023
Carbonated Water - Cherry #(3570593407691367);$154.85;1/13/2023
Butcher Twine 4r #(5010121635695308);$15.42;2/16/2023
Wine - Niagara,vqa Reisling #(676741096944462380);$155.42;11/30/2022
Ice Cream - Super Sandwich #();$31.37;1/11/2023
Oil - Margarine #();$112.71;12/23/2022
Beer - Upper Canada Light #(3546482888838187);$63.95;3/2/2023
Wine - Riesling Dr. Pauly #(3540349997232188);$27.16;12/8/2022
Sugar Thermometer #(501811570978546875);$91.34;2/21/2023
Bread - Pita, Mini #(3550451212925542);$96.48;11/29/2022
Onions - Red #(3540849827895054);$154.07;1/1/2023
Persimmons #(5108752173094661);$48.89;1/18/2023
Tea - Lemon Green Tea #(5602243902243150);$3.40;1/12/2023
Cactus Pads #();$192.45;2/19/2023
Wine - Winzer Krems Gruner #(3588845863388312);$112.73;1/25/2023
Muffin Mix - Corn Harvest #(3538257064491401);$153.95;2/21/2023
Bar - Sweet And Salty Chocolate #(4175009874084025);$13.54;1/14/2023
Wine - Niagara,vqa Reisling #(676741096944462380);$155.42;11/30/2022
The Pop Shoppe - Lime Rickey #(3583747710786398);$138.31;3/15/2023
Beer - Upper Canada Light #(3569050827437437);$25.59;12/22/2022
Cauliflower #(493618812402790066);$62.75;12/4/2022
Sambuca - Opal Nera #(3531109437578082);$106.63;3/6/2023
Eel - Smoked #(₀₁₂);;2/1/2023
Sauce - Black Current, Dry Mix #(337941420985565);$130.89;12/16/2022
Cheese - Grana Padano #(3566971102136738);$163.88;1/14/2023
Broom - Corn #(3583528070938054);$18.95;12/30/2022
Lid - 10,12,16 Oz #(6762402289953897578);$85.55;
Onions - Pearl #(4260147852141098);$109.83;2/20/2023
Broom - Corn #(3583528070938054);$18.95;12/30/2022
Cookie - Oreo 100x2 #(3536997332582869);$134.99;11/25/2022
Beer - Upper Canada Light #(3546482888838187);$63.95;3/2/2023
Calypso - Lemonade #(4026987913289674);$115.55;1/11/2023
Appetizer - Shrimp Puff #(6331102693858844949);$71.95;3/10/2023
Grenadine #(5010122259033651);$166.81;2/28/2023
Artichoke - Fresh #(3532413238812461);$0.84;3/12/2023
Soup - French Onion, Dry #(30180679004469);$98.98;1/10/2023
Pectin #();$161.30;1/1/2023
Zucchini - Yellow #(｀ｨ(´∀｀∩);$34.07;1/8/2023
Nescafe - Frothy French Vanilla #(3568219822268250);$70.50;11/23/2022
Mushroom - Chanterelle Frozen #(30546201394372);$127.06;12/31/2022
Nut - Peanut, Roasted #(4936223192998693417);$88.65;12/21/2022
Wine - Masi Valpolocell #(3584533062012172);$134.97;3/3/2023
Mushroom - Shitake, Dry #(6759651963150743);$190.63;1/3/2023
Ecolab - Balanced Fusion #(6767979146900844222);$46.14;1/13/2023
The Pop Shoppe - Root Beer #();$131.15;2/5/2023
Appetizer - Escargot Puff #(5602252067951739);$105.10;2/10/2023
Potatoes - Mini Red #(201867872834170);$62.59;12/25/2022
Stock - Fish #(6333476109722733);$182.71;12/27/2022
Cake - Lemon Chiffon #(5100178633158391);$51.82;2/15/2023
Cookie Dough - Oatmeal Rasin #(201659525911913);$112.80;1/1/2023
Pecan Raisin - Tarts #(5010121307047036);$30.02;1/27/2023
Fork - Plastic #(3581083527644527);$39.20;1/16/2023
Beer - Paulaner Hefeweisse #(3586829716453103);$169.89;1/19/2023
Shrimp - 16/20, Peeled Deviened #(3565504291643239);$12.09;2/27/2023
Onions - Pearl #(4260147852141098);$109.83;2/20/2023
Fiddlehead - Frozen #(3551723892426341);$97.30;2/15/2023
Guinea Fowl #(30271902410415);$70.57;2/28/2023
Lentils - Green Le Puy #(6304942407510133);$6.25;3/5/2023
Onions - Pearl #(4260147852141098);$109.83;2/20/2023
Appetizer - Shrimp Puff #(5602227667292072);$10.56;3/8/2023
Crab - Imitation Flakes #(3586831078408410);$37.46;12/9/2022
;$79.30;2/7/2023
Hog / Sausage Casing - Pork #(5602237339314154);$162.85;12/3/2022
Passion Fruit #(🐵 🙈 🙉 🙊);$106.46;1/29/2023
Wine - Zinfandel Rosenblum #(6759437723167564108);$157.05;2/19/2023
Tea - Camomele #(677183480065822916);$36.76;1/19/2023
Corn - Cream, Canned #(372301774184297);$155.47;12/16/2022
Chinese Foods - Chicken #(3569307127355606);$92.95;12/29/2022
Stock - Veal, Brown #(675927692671302738);$8.86;2/15/2023
Beans - Navy, Dry #(50383480212369694);$194.53;1/21/2023
Sprite, Diet - 355ml #(4903719830503257845);$189.12;12/6/2022
Garlic Powder #(3566318418568982);$162.63;12/18/2022
Yukon Jack #(493625039904177672);$76.43;12/14/2022
Croissants Thaw And Serve #(3547392994782246);$3.09;2/14/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Sauce - Hp #(3572143017395302);$150.07;2/26/2023
Limes #(5100173317381062);$68.66;12/14/2022
Pear - Packum #();$33.83;2/8/2023
Broom - Corn #(3583528070938054);$18.95;12/30/2022
Appetizer - Sausage Rolls #(3541956167859944);$117.00;2/13/2023
Appetizer - Sausage Rolls #(3541956167859944);$117.00;2/13/2023
Lamb - Whole, Fresh #(5610135129350026);$188.45;1/27/2023
Olives - Stuffed #(5602248945027130);$180.36;2/2/2023
Wine - Fat Bastard Merlot #(3535462145207288);$154.14;1/13/2023
Spice - Onion Powder Granulated #(5108758028720640);$117.09;3/9/2023
Sobe - Orange Carrot #(6394904016519013);$83.90;12/12/2022
Schnappes - Peach, Walkers #(3547937876741460);$164.41;12/23/2022
Roe - Lump Fish, Black #(3577037166015965);$28.56;11/28/2022
Cake - Lemon Chiffon #(3540279638558545);$20.53;2/10/2023
Lettuce - Iceberg #(3583027412508691);$0.58;2/16/2023
Wine - Sake #(490534885162780441);$126.49;1/31/2023
;$89.51;12/5/2022
Bread - Frozen Basket Variety #(3543289529516046);$45.44;1/9/2023
Wine - White, Ej #(4936293856676685508);$109.57;12/26/2022
Ice Cream - Super Sandwich #();$31.37;1/11/2023
Wine - Clavet Saint Emilion #(3575829506908202);$93.49;12/21/2022
Octopus - Baby, Cleaned #(3574530849279548);$185.42;12/12/2022
Limes #(5100173317381062);$68.66;12/14/2022
Tea - English Breakfast #(3550715358418920);;2/26/2023
Quail - Jumbo Boneless #(3571981243431859);$52.44;12/17/2022
Nut - Hazelnut, Ground, Natural #(201442900336976);$190.94;12/6/2022
Orange - Tangerine #(3586531823587720);$139.19;2/18/2023
Broom - Push #(3579362956709686);$109.85;1/19/2023
Coconut - Shredded, Sweet #(3569873100661765);$142.52;3/1/2023
Cardamon Ground #(6379953531764702);$181.74;2/11/2023
Cheese - Parmesan Grated #(6333363273530318);$130.17;12/8/2022
Liners - Banana, Paper #(560221333015104715);$61.38;2/28/2023
Veal - Insides, Grains #(201900262212754);$69.44;11/27/2022
Hog / Sausage Casing - Pork #(5602237339314154);$162.85;12/3/2022
Tequila Rose Cream Liquor #(3569676520923172);$191.52;2/7/2023
Chutney Sauce #(3561015847910760);$190.74;1/22/2023
Wine - White, Chardonnay #(3581638129851349);$26.37;2/12/2023
Mikes Hard Lemonade #(3564029387988158);$83.30;2/27/2023
Wine - Alsace Gewurztraminer #(3534762144984097);$169.21;1/11/2023
Icecream Bar - Del Monte #(5108751042552719);$88.61;2/10/2023
Beer - Pilsner Urquell #();$6.47;2/17/2023
Dome Lid Clear P92008h #(5602227834991978);$159.82;12/13/2022
Crackers - Soda / Saltins #(6370816053838619);$129.18;12/11/2022
Paper Cocktail Umberlla 80 - 180 #(3547584482987739);$151.20;12/20/2022
Molasses - Fancy #(3547032639692935);$58.81;2/16/2023
Lentils - Green Le Puy #(6304942407510133);$6.25;3/5/2023
Pizza Pizza Dough #(3583184359171577);$7.62;11/29/2022
Flour - Cake #(6762781680094670307);$142.43;2/8/2023
Napkin White #(3574224215725660);$88.60;3/12/2023
Cleaner - Comet #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$191.80;2/13/2023
Juice - Pineapple, 48 Oz #(Ω≈ç√∫˜µ≤≥÷);$113.70;1/4/2023
Liners - Banana, Paper #(3574091552943267);$77.47;3/7/2023
Vinegar - Champagne #(676278370935282052);$136.04;2/22/2023
Potatoes - Pei 10 Oz #(3570506917647943);;1/3/2023
Veal - Loin #();$151.84;12/31/2022
Lettuce - Radicchio #(3562568176534055);$64.51;1/9/2023
Icecream Bar - Del Monte #();$191.72;3/2/2023
Oil - Food, Lacquer Spray #(4911200299340592);$172.34;12/2/2022
Lid Coffeecup 12oz D9542b #(˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥);$35.26;1/6/2023
Beef - Striploin Aa #(5356120202190091);;2/14/2023
Sprouts - Alfalfa #(5100137000608263);$184.93;3/7/2023
Lobster - Live #(3550143957335793);$125.57;12/29/2022
Salmon - Atlantic, Fresh, Whole #(3546874966767074);$113.33;2/10/2023
Ice Cream Bar - Drumstick #(3579025690003464);$191.52;
Artichoke - Bottom, Canned #(3553276186779535);$198.03;2/20/2023
Soap - Mr.clean Floor Soap #(3564792972069359);$177.40;3/7/2023
Chick Peas - Dried #(3575738114863784);$138.23;12/5/2022
Sauce - Black Current, Dry Mix #(337941420985565);$130.89;12/16/2022
Cake - Night And Day Choclate #(56022535244914165);$9.88;2/21/2023
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Soup - Knorr, Chicken Gumbo #(3561807082668701);$175.66;12/5/2022
Crab - Back Fin Meat, Canned #(3547828234587077);$172.34;11/29/2022
Napkin - Cocktail,beige 2 - Ply #(3553825367605024);$116.81;12/2/2022
Sobe - Orange Carrot #(6394904016519013);$83.90;12/12/2022
Gelatine Leaves - Bulk #(3589475857158973);$80.08;1/9/2023
Gatorade - Xfactor Berry #(56022135138416235);$27.41;1/14/2023
Lamb - Whole, Fresh #(3564992433395001);$113.91;11/25/2022
Wine - Fat Bastard Merlot #(3535462145207288);$154.14;1/13/2023
Plastic Arrow Stir Stick #(3543998180910252);$194.69;1/28/2023
Extract - Rum #(3530505537751225);$5.07;1/8/2023
Sugar - Sweet N Low, Individual #((｡◕ ∀ ◕｡));$89.07;1/23/2023
Bulgar #(5493319389767895);$98.83;12/29/2022
The Pop Shoppe - Root Beer #();$131.15;2/5/2023
Instant Coffee #(6381037712032265);$8.54;3/4/2023
Muffin Mix - Morning Glory #(4041591821533);$160.90;12/25/2022
Broom - Corn #(3583528070938054);$18.95;12/30/2022
Beer - Paulaner Hefeweisse #(3586829716453103);$169.89;1/19/2023
Flower - Commercial Bronze #(3576176023906064);$33.59;1/30/2023
Beans - Turtle, Black, Dry #(5231565983946940);$104.19;1/5/2023
Olives - Stuffed #(5602248945027130);$180.36;2/2/2023
Olives - Green, Pitted #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$101.36;11/27/2022
Noodles - Cellophane, Thin #(5100174802294257);$187.02;1/22/2023
Dill Weed - Dry #(3581529040028713);$39.85;2/6/2023
Schnappes Peppermint - Walker #();$48.12;2/10/2023
Cherries - Bing, Canned #();$59.22;3/9/2023
Aspic - Light #(4405135502496737);$29.60;1/18/2023
Sauce - Sesame Thai Dressing #(5100148280317822);$190.69;12/22/2022
"Apple - Delicious, Golden #(/dev/null; touch /tmp/blns.fail ; echo)";$87.64;1/29/2023
Soap - Mr.clean Floor Soap #(3564792972069359);$177.40;3/7/2023
Absolut Citron #(3589609129648250);$12.89;
Bread - Italian Sesame Poly #(3549206151454522);$178.11;2/10/2023
Sugar - Palm #(67618319342455109);$85.67;2/7/2023
Irish Cream - Baileys #(3537689742876903);$53.15;2/18/2023
Hummus - Spread #(4911042244390243);$24.10;1/4/2023
Pickerel - Fillets #(4905554319496135203);$86.49;11/29/2022
Pop - Club Soda Can #(3577650223026849);$31.96;1/3/2023
Trout - Rainbow, Frozen #(67610692805765893);$94.67;3/1/2023
Juice - Orange, Concentrate #(5536210755078042);$194.08;12/10/2022
"Juice - Propel Sport #(""''''""'"")";$47.30;1/29/2023
Wine - Hardys Bankside Shiraz #(3566315255886659);$119.14;2/3/2023
Potatoes - Idaho 80 Count #(5602249846478372);$133.57;3/5/2023
Appetizer - Tarragon Chicken #(3540950538879104);$39.65;2/16/2023
Bread - Frozen Basket Variety #(3543289529516046);$45.44;1/9/2023
Beef - Top Sirloin - Aaa #();$169.54;1/29/2023
Zucchini - Yellow #(｀ｨ(´∀｀∩);$34.07;1/8/2023
Pizza Pizza Dough #(3583184359171577);$7.62;11/29/2022
Cheese - Parmesan Cubes #(3563993473979069);$135.95;12/29/2022
Beer - Heinekin #(201799785049259);$149.45;12/1/2022
Sausage - Chorizo #(337941369919690);$33.48;1/8/2023
Macaroons - Homestyle Two Bit #(4905143158288312);$129.79;1/4/2023
Lettuce - Iceberg #(3583027412508691);$0.58;2/16/2023
Bread Cranberry Foccacia #();$196.39;12/22/2022
Cookies - Assorted #(3580729330731957);$127.11;2/12/2023
Soup - Campbells Tomato Ravioli #(201751347585296);$135.99;12/12/2022
Wine - White, Pelee Island #(3580106802367901);$24.88;11/29/2022
Wine - White, Pelee Island #(3580106802367901);$24.88;11/29/2022
Chinese Foods - Pepper Beef #(4844714039625635);$165.92;3/14/2023
Oil - Cooking Spray #(3589852879397559);$47.54;3/11/2023
Savory #();$39.16;1/28/2023
Island Oasis - Raspberry #(201889846255985);$157.57;11/29/2022
Mayonnaise - Individual Pkg #(3537534186677286);$120.40;12/3/2022
Wine - Bourgogne 2002, La #(3531562580250505);$61.83;1/18/2023
Chip - Potato Dill Pickle #(3575416291102553);$191.97;3/11/2023
Zucchini - Mini, Green #(5010120257342959);$61.77;11/27/2022
Mayonnaise - Individual Pkg #(3537534186677286);$120.40;12/3/2022
Beef - Striploin Aa #(5356120202190091);;2/14/2023
Wine - White, French Cross #(564182609212936622);$9.94;1/29/2023
Mikes Hard Lemonade #(3564029387988158);$83.30;2/27/2023
"Bread - Wheat Baguette #(1;DROP TABLE users)";$166.80;11/29/2022
Pop - Club Soda Can #(676722634470755471);$75.30;11/29/2022
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Lettuce - Radicchio #(1E+02);$189.36;3/9/2023
Beans - Turtle, Black, Dry #(36856494026696);$13.36;1/28/2023
Wine - Two Oceans Cabernet #();$29.66;12/3/2022
Mace #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$62.68;2/15/2023
Potatoes - Pei 10 Oz #(3570506917647943);;1/3/2023
Chick Peas - Canned #(201777979119005);$178.13;1/13/2023
